YEAR,GRADE,WIDA_LEVEL,n,kendall,ilearn_pctile_median,p_ilearn_proficient,content
2026,6,WIDA Level 1,631,0.0619,18.1518,0,MATHEMATICS
2026,6,WIDA Level 2,1145,0.0742,27.3929,0,MATHEMATICS
2026,6,WIDA Level 3,3065,0.2181,49.7446,0,MATHEMATICS
2026,6,WIDA Level 4,875,0.0682,72.0586,0,MATHEMATICS
2026,6,WIDA Level 4.3,844,0.089,79.7596,0,MATHEMATICS
2026,6,WIDA Level 5,87,0.0746,90.4583,0,MATHEMATICS
2026,7,WIDA Level 1,780,0.0605,24.0368,0,MATHEMATICS
2026,7,WIDA Level 2,1126,0.0798,30.4874,0,MATHEMATICS
2026,7,WIDA Level 3,2779,0.1631,47.5992,0,MATHEMATICS
2026,7,WIDA Level 4,906,0.0323,66.6813,0,MATHEMATICS
2026,7,WIDA Level 4.3,1104,0.1705,79.4804,0,MATHEMATICS
2026,7,WIDA Level 5,140,0.1548,92.9729,0,MATHEMATICS
2026,7,WIDA Level 6,16,,,,MATHEMATICS
2026,8,WIDA Level 1,871,0.0794,21.8073,0,MATHEMATICS
2026,8,WIDA Level 2,1083,0.0354,29.3249,0,MATHEMATICS
2026,8,WIDA Level 3,2573,0.1556,46.4487,0,MATHEMATICS
2026,8,WIDA Level 4,943,0.0306,64.782,0,MATHEMATICS
2026,8,WIDA Level 4.3,1364,0.1285,76.9198,0,MATHEMATICS
2026,8,WIDA Level 5,236,0.0938,87.4473,0,MATHEMATICS
