cut,n_below,n_above,tau_below,tau_above,tau_gap,ilearn_prof_below,ilearn_prof_above,ilearn_pctile_below,ilearn_pctile_above,YEAR,GRADE,YEAR_STRATUM
2.6,253,5986,0.1907,0.5196,0.3289,0.004,0.1437,5.1362,52.3077,2018,4,istep_contrast
2.7,284,5955,0.1912,0.5166,0.3254,0.0035,0.1444,5.3926,52.3077,2018,4,istep_contrast
2.8,316,5923,0.208,0.5138,0.3058,0.0032,0.1452,6.4663,52.3077,2018,4,istep_contrast
2.9,358,5881,0.1889,0.509,0.32,0.0028,0.1462,6.4663,53.3013,2018,4,istep_contrast
3,411,5828,0.1851,0.5037,0.3186,0.0024,0.1476,6.4663,53.3013,2018,4,istep_contrast
3.1,493,5746,0.2116,0.4973,0.2857,0.002,0.1497,7.3718,54.399,2018,4,istep_contrast
3.2,576,5663,0.2472,0.4901,0.2428,0.0017,0.1519,8.4856,54.399,2018,4,istep_contrast
3.3,664,5575,0.2455,0.4825,0.2371,0.0015,0.1543,9.0625,55.4647,2018,4,istep_contrast
3.4,882,5357,0.2863,0.4655,0.1791,0.0023,0.1604,11.3141,56.3702,2018,4,istep_contrast
3.5,882,5357,0.2863,0.4655,0.1791,0.0023,0.1604,11.3141,56.3702,2018,4,istep_contrast
3.6,1024,5215,0.3193,0.4576,0.1383,0.0029,0.1645,12.5801,57.3157,2018,4,istep_contrast
3.7,1225,5014,0.3259,0.4441,0.1182,0.0033,0.1709,13.9663,59.2147,2018,4,istep_contrast
3.8,1430,4809,0.331,0.4303,0.0994,0.0035,0.178,15.2324,60.8814,2018,4,istep_contrast
3.9,2067,4172,0.3616,0.3903,0.0287,0.0077,0.2025,20.6891,65.0721,2018,4,istep_contrast
4,2067,4172,0.3616,0.3903,0.0287,0.0077,0.2025,20.6891,65.0721,2018,4,istep_contrast
4.1,2404,3835,0.3797,0.3727,-0.007,0.0104,0.218,22.6362,66.6827,2018,4,istep_contrast
4.2,2700,3539,0.3917,0.3582,-0.0335,0.0111,0.2348,24.7516,69.1907,2018,4,istep_contrast
4.3,3318,2921,0.4112,0.3226,-0.0887,0.0211,0.2708,29.5192,72.6362,2018,4,istep_contrast
4.4,3318,2921,0.4112,0.3226,-0.0887,0.0211,0.2708,29.5192,72.6362,2018,4,istep_contrast
4.5,3620,2619,0.4265,0.3131,-0.1134,0.0262,0.2925,31.6506,74.1106,2018,4,istep_contrast
4.6,4032,2207,0.4423,0.3027,-0.1396,0.0352,0.3258,34.0545,76.7628,2018,4,istep_contrast
4.7,4365,1874,0.4547,0.2893,-0.1654,0.0424,0.3607,36.3301,79.0385,2018,4,istep_contrast
4.8,4931,1308,0.4723,0.2496,-0.2227,0.0572,0.4427,40.6731,83.5016,2018,4,istep_contrast
4.9,4931,1308,0.4723,0.2496,-0.2227,0.0572,0.4427,40.6731,83.5016,2018,4,istep_contrast
5,5181,1058,0.4816,0.2445,-0.237,0.0674,0.4839,42.2837,85.3846,2018,4,istep_contrast
5.1,5407,832,0.4928,0.2291,-0.2637,0.078,0.5276,43.9904,87.0433,2018,4,istep_contrast
